city,state_name,county_name
Algona,Iowa,Kossuth
Hyde Park,Utah,Cache
Coco,Puerto Rico,Salinas
Trooper,Pennsylvania,Montgomery
Pennside,Pennsylvania,Berks
Semmes,Alabama,Mobile
Conley,Georgia,Clayton
Neshanic Station,New Jersey,Somerset
Battlement Mesa,Colorado,Garfield
Lake Holiday,Illinois,LaSalle
Lake Barrington,Illinois,Lake
Town and Country,Washington,Spokane
Rio Pinar,Florida,Orange
Oak Point,Texas,Denton
Layhill,Maryland,Montgomery
Marlene Village,Oregon,Washington
Colby,Kansas,Thomas
Sansom Park,Texas,Tarrant
Old Fig Garden,California,Fresno
Sheldon,Iowa,O'Brien
Cameron,Texas,Milam
Winterset,Iowa,Madison
East Freehold,New Jersey,Monmouth
Deer Park,Ohio,Hamilton
St. Helena,California,Napa
Van Alstyne,Texas,Grayson
Orangetree,Florida,Collier
Tice,Florida,Lee
Centerville,Iowa,Appanoose
Cramerton,North Carolina,Gaston
Okeechobee,Florida,Okeechobee
Cape May Court House,New Jersey,Cape May
North Fond du Lac,Wisconsin,Fond du Lac
White City,Florida,St. Lucie
Reminderville,Ohio,Summit
Olyphant,Pennsylvania,Lackawanna
Rensselaer,Indiana,Jasper
Iola,Kansas,Allen
St. Martinville,Louisiana,St. Martin
Glendora,New Jersey,Camden
Clarinda,Iowa,Page
Forest,Mississippi,Scott
Balm,Florida,Hillsborough
Goddard,Kansas,Sedgwick
Glencoe,Alabama,Etowah
Thatcher,Arizona,Graham
Boulder Creek,California,Santa Cruz
Senoia,Georgia,Coweta
Clementon,New Jersey,Camden
Whitfield,Pennsylvania,Berks
Warren,Arkansas,Bradley
Peñuelas,Puerto Rico,Peñuelas
Polson,Montana,Lake
Guánica,Puerto Rico,Guánica
Rusk,Texas,Cherokee
Roanoke,Alabama,Randolph
Benson,Arizona,Cochise
Posen,Illinois,Cook
Keyes,California,Stanislaus
Englewood Cliffs,New Jersey,Bergen
Brookshire,Texas,Waller
Hollywood,South Carolina,Charleston
Muleshoe,Texas,Bailey
St. Robert,Missouri,Pulaski
Canal Fulton,Ohio,Stark
South Pasadena,Florida,Pinellas
Cortez,Florida,Manatee
Ashland City,Tennessee,Cheatham
Moab,Utah,Grand
Turpin Hills,Ohio,Hamilton
Salem,New Jersey,Salem
Dove Valley,Colorado,Arapahoe
Grandwood Park,Illinois,Lake
Blythewood,South Carolina,Richland
Shaw Heights,Colorado,Adams
Buckley,Washington,Pierce
Ione,California,Amador
Edinboro,Pennsylvania,Erie
Montevideo,Minnesota,Chippewa
Mayflower Village,California,Los Angeles
Grambling,Louisiana,Lincoln
Brush,Colorado,Morgan
Central,South Carolina,Pickens
Whiskey Creek,Florida,Lee
Springfield,Michigan,Calhoun
Westvale,New York,Onondaga
Guadalupe,Arizona,Maricopa
Kensington,California,Contra Costa
Palm Springs North,Florida,Miami-Dade
Weldon Spring,Missouri,St. Charles
Westville,Indiana,LaPorte
Chackbay,Louisiana,Lafourche
Primera,Texas,Cameron
Kahaluu,Hawaii,Honolulu
Orchard Homes,Montana,Missoula
Pana,Illinois,Christian
Blakely,Georgia,Early
Tiffin,Iowa,Johnson
Firthcliffe,New York,Orange
Peppermill Village,Maryland,Prince George's
Medina,Tennessee,Gibson
West Salem,Wisconsin,La Crosse
Lehighton,Pennsylvania,Carbon
La Crescent,Minnesota,Houston
Wheatley Heights,New York,Suffolk
Fox Chapel,Pennsylvania,Allegheny
Brownfields,Louisiana,East Baton Rouge
Naples Manor,Florida,Collier
Margate City,New Jersey,Atlantic
Tipton,Indiana,Tipton
Rigby,Idaho,Jefferson
Flagler Beach,Florida,Flagler
Bigfork,Montana,Flathead
Delhi Hills,Ohio,Hamilton
Granite Shoals,Texas,Burnet
Lewisburg,Pennsylvania,Union
Johnstown,Ohio,Licking
Schuylkill Haven,Pennsylvania,Schuylkill
Chardon,Ohio,Geauga
Highwood,Illinois,Lake
Chester,South Carolina,Chester
Gladstone,Michigan,Delta
Cresaptown,Maryland,Allegany
Brewton,Alabama,Escambia
Bargaintown,New Jersey,Atlantic
El Granada,California,San Mateo
Redland,Alabama,Elmore
Titusville,Pennsylvania,Crawford
Tillamook,Oregon,Tillamook
Vinita,Oklahoma,Craig
Sandy Oaks,Texas,Bexar
Collegeville,Pennsylvania,Montgomery
Williamsburg,Kentucky,Whitley
Rainbow Springs,Florida,Marion
Ceiba,Puerto Rico,Ceiba
Islip Terrace,New York,Suffolk
Berkeley,Illinois,Cook
Fort Rucker,Alabama,Dale
Uhrichsville,Ohio,Tuscarawas
West Pleasant View,Colorado,Jefferson
Sayre,Oklahoma,Beckham
Brady,Texas,McCulloch
Nassau Bay,Texas,Harris
Pleasant Run,Ohio,Hamilton
Porter,Indiana,Porter
Chadron,Nebraska,Dawes
Crystal Lake,Florida,Polk
Avondale,Louisiana,Jefferson
Glennville,Georgia,Tattnall
Center,Texas,Shelby
Eaton Rapids,Michigan,Eaton
Tucumcari,New Mexico,Quay
Bristol,Wisconsin,Kenosha
Vancleave,Mississippi,Jackson
Northwood,Ohio,Wood
Big Stone Gap,Virginia,Wise
Bealeton,Virginia,Fauquier
Veneta,Oregon,Lane
River Ridge,Florida,Pasco
Comstock Northwest,Michigan,Kalamazoo
Colona,Illinois,Henry
Richlands,Virginia,Tazewell
Duquesne,Pennsylvania,Allegheny
Carlyss,Louisiana,Calcasieu
Hugo,Oklahoma,Choctaw
Madisonville,Tennessee,Monroe
Utica,Michigan,Macomb
Troy Hills,New Jersey,Morris
Elmsford,New York,Westchester
Shanor-Northvue,Pennsylvania,Butler
Allegan,Michigan,Allegan
Breckenridge,Texas,Stephens
Deale,Maryland,Anne Arundel
Woodside,California,San Mateo
New Martinsville,West Virginia,Wetzel
North Oaks,Minnesota,Ramsey
Samsula-Spruce Creek,Florida,Volusia
Tichigan,Wisconsin,Racine
Mayfair,California,Fresno
Fort Meade,Florida,Polk
Bolivar,Tennessee,Hardeman
Windsor Heights,Iowa,Polk
Mayville,Wisconsin,Dodge
Beach Haven West,New Jersey,Ocean
Berlin,Maryland,Worcester
Hickory Creek,Texas,Denton
Calistoga,California,Napa
Camilla,Georgia,Mitchell
Bangor,Pennsylvania,Northampton
Smithville,Tennessee,DeKalb
Williamston,North Carolina,Martin
Cherokee,Iowa,Cherokee
Cut Off,Louisiana,Lafourche
West Hazleton,Pennsylvania,Luzerne
Lawrenceburg,Indiana,Dearborn
Linton,Indiana,Greene
Ledgewood,New Jersey,Morris
Waipio Acres,Hawaii,Honolulu
Falcon Heights,Minnesota,Ramsey
Coal City,Illinois,Grundy
Alexandria,Indiana,Madison
Manchester,Iowa,Delaware
Buckhannon,West Virginia,Upshur
Mechanicville,New York,Saratoga
Rockmart,Georgia,Polk
Wildwood,New Jersey,Cape May
Daytona Beach Shores,Florida,Volusia
Kingsford,Michigan,Dickinson
Hampton,Maryland,Baltimore
West Hills,New York,Suffolk
Citrus Park,Arizona,Maricopa
Boothwyn,Pennsylvania,Delaware
Doffing,Texas,Hidalgo
Apple Valley,Ohio,Knox
West Ocean City,Maryland,Worcester
Headland,Alabama,Henry
Glenwood,Iowa,Mills
Pendleton,Indiana,Madison
Social Circle,Georgia,Walton
Fussels Corner,Florida,Polk
Terryville,Connecticut,Naugatuck Valley
Pleasant View,Tennessee,Cheatham
Frankenmuth,Michigan,Saginaw
Middletown,Maryland,Frederick
Hazard,Kentucky,Perry
Monee,Illinois,Will
El Cerro Mission,New Mexico,Valencia
Midfield,Alabama,Jefferson
Saranac Lake,New York,Franklin
Heeia,Hawaii,Honolulu
Port Isabel,Texas,Cameron
Yosemite Lakes,California,Madera
Eureka,Illinois,Woodford
Carle Place,New York,Nassau
Fortville,Indiana,Hancock
Morris,Minnesota,Stevens
Sergeant Bluff,Iowa,Woodbury
Birdsboro,Pennsylvania,Berks
Buellton,California,Santa Barbara
Bridgeport,Pennsylvania,Montgomery
Giddings,Texas,Lee
Lakeport,California,Lake
Ridge Wood Heights,Florida,Sarasota
Denair,California,Stanislaus
Dorneyville,Pennsylvania,Lehigh
Davison,Michigan,Genesee
West York,Pennsylvania,York
Whispering Pines,North Carolina,Moore
Connell,Washington,Franklin
Ballston Spa,New York,Saratoga
Westport,North Carolina,Lincoln
Cherokee Village,Arkansas,Sharp
King City,Oregon,Washington
Suncook,New Hampshire,Merrimack
Redwood Falls,Minnesota,Redwood
Hiram,Georgia,Paulding
Winona Lake,Indiana,Kosciusko
Beckett,New Jersey,Gloucester
Helena Valley Northwest,Montana,Lewis and Clark
Lone Grove,Oklahoma,Carter
Todd Creek,Colorado,Adams
Silver Hill,Maryland,Prince George's
Spring House,Pennsylvania,Montgomery
Justin,Texas,Denton
Concordia,Kansas,Cloud
Sheridan,Arkansas,Grant
Iowa Falls,Iowa,Hardin
Savannah,Missouri,Andrew
Jackson,California,Amador
Clarks Summit,Pennsylvania,Lackawanna
Meridian,Colorado,Douglas
Tallassee,Alabama,Elmore
Pinckneyville,Illinois,Perry
Duryea,Pennsylvania,Luzerne
Lake Wisconsin,Wisconsin,Columbia
Terrell Hills,Texas,Bexar
Turtle Creek,Pennsylvania,Allegheny
California,Pennsylvania,Washington
St. Clairsville,Ohio,Belmont
Running Springs,California,San Bernardino
LaBelle,Florida,Hendry
Hoopeston,Illinois,Vermilion
Big Bear Lake,California,San Bernardino
Milan,Illinois,Rock Island
Sea Cliff,New York,Nassau
Archer Lodge,North Carolina,Johnston
Falmouth,Virginia,Stafford
Ayden,North Carolina,Pitt
Louisburg,Kansas,Miami
Three Points,Arizona,Pima
Cave Creek,Arizona,Maricopa
Myrtletown,California,Humboldt
Manheim,Pennsylvania,Lancaster
Vandergrift,Pennsylvania,Westmoreland
Wind Lake,Wisconsin,Racine
Sawmills,North Carolina,Caldwell
Kenneth City,Florida,Pinellas
Wright City,Missouri,Warren
Cheraw,South Carolina,Chesterfield
Lake City,Minnesota,Wabasha
Ellisburg,New Jersey,Camden
Munroe Falls,Ohio,Summit
Hudson,Texas,Angelina
Bluefield,Virginia,Tazewell
Odenville,Alabama,St. Clair
Swoyersville,Pennsylvania,Luzerne
Dodgeville,Wisconsin,Iowa
Lake of the Pines,California,Nevada
Byram,Connecticut,Western Connecticut
Alva,Oklahoma,Woods
Ardsley,New York,Westchester
Las Piedras,Puerto Rico,Las Piedras
Ironwood,Michigan,Gogebic
South Barrington,Illinois,Cook
New Freedom,Pennsylvania,York
Sunnyside,California,Fresno
Summerside,Ohio,Clermont
Breckenridge,Colorado,Summit
Grandyle Village,New York,Erie
Orange,Virginia,Orange
Chamberlayne,Virginia,Henrico
Ste. Genevieve,Missouri,Ste. Genevieve
Lake San Marcos,California,San Diego
North Westport,Massachusetts,Bristol
Winter Beach,Florida,Indian River
Naples Park,Florida,Collier
Pensacola Station,Florida,Escambia
Chain Lake,Washington,Snohomish
Pleasant Garden,North Carolina,Guilford
Princeton,Minnesota,Mille Lacs
Forked River,New Jersey,Ocean
The Pinehills,Massachusetts,Plymouth
Shelley,Idaho,Bingham
Winfield,Alabama,Marion
Circle Pines,Minnesota,Anoka
Colville,Washington,Stevens
Baxley,Georgia,Appling
Argyle,Texas,Denton
Union Grove,Wisconsin,Racine
Ampere North,New Jersey,Essex
Lake Wildwood,California,Nevada
Long View,North Carolina,Catawba
Lares,Puerto Rico,Lares
Northwest Harbor,New York,Suffolk
Wadesboro,North Carolina,Anson
Sonora,California,Tuolumne
Kingfisher,Oklahoma,Kingfisher
Marksville,Louisiana,Avoyelles
Bisbee,Arizona,Cochise
Saltillo,Mississippi,Lee
Adairsville,Georgia,Bartow
Brielle,New Jersey,Monmouth
Island Park,New York,Nassau
Becker,Minnesota,Sherburne
Creedmoor,North Carolina,Granville
Oakhurst,California,Madera
Mineola,Texas,Wood
Robbins,Illinois,Cook
Gilmer,Texas,Upshur
Edgewater,Colorado,Jefferson
Kanab,Utah,Kane
Theodore,Alabama,Mobile
Springville,Alabama,St. Clair
Hamilton,Montana,Ravalli
Vinton,Iowa,Benton
Willits,California,Mendocino
West Sayville,New York,Suffolk
Skyline View,Pennsylvania,Dauphin
Franklin,New Jersey,Sussex
Gibraltar,Michigan,Wayne
Massac,Kentucky,McCracken
Kenmar,Pennsylvania,Lycoming
Sparks,Texas,El Paso
Batesburg-Leesville,South Carolina,Lexington
Lindstrom,Minnesota,Chisago
Omak,Washington,Okanogan
Port Allen,Louisiana,West Baton Rouge
Medical Lake,Washington,Spokane
Rocky Mount,Virginia,Franklin
Herculaneum,Missouri,Jefferson
Rio Communities,New Mexico,Valencia
Granite Falls,North Carolina,Caldwell
Barling,Arkansas,Sebastian
Nashville,Georgia,Berrien
Progreso,Texas,Hidalgo
Edwardsville,Pennsylvania,Luzerne
Demarest,New Jersey,Bergen
Sparta,Tennessee,White
Elko New Market,Minnesota,Scott
Shenandoah,Iowa,Page
Winchester,Indiana,Randolph
Tara Hills,California,Contra Costa
Royersford,Pennsylvania,Montgomery
Wauchula,Florida,Hardee
Valparaiso,Florida,Okaloosa
Aberdeen,Mississippi,Monroe
Luverne,Minnesota,Rock
Wrightwood,California,San Bernardino
South Sarasota,Florida,Sarasota
North Manchester,Indiana,Wabash
Minot AFB,North Dakota,Ward
Fellsmere,Florida,Indian River
Hillandale,Maryland,Montgomery
Sulphur,Oklahoma,Murray
University,Mississippi,Lafayette
Harlan,Iowa,Shelby
Twin Lakes,California,Santa Cruz
Goshen,California,Tulare
Golden Triangle,New Jersey,Camden
Westmont,Pennsylvania,Cambria
Daleville,Alabama,Dale
Farmers Loop,Alaska,Fairbanks North Star
Flemington,New Jersey,Hunterdon
Reidland,Kentucky,McCracken
Hinton,Oklahoma,Caddo
Wahoo,Nebraska,Saunders
Chula Vista,Texas,Maverick
Harrington Park,New Jersey,Bergen
Kimberly,Idaho,Twin Falls
Needles,California,San Bernardino
Hawthorne,New York,Westchester
Baldwin City,Kansas,Douglas
Eagleville,Pennsylvania,Montgomery
Denton,Maryland,Caroline
Carmi,Illinois,White
Zapata,Texas,Zapata
Estacada,Oregon,Clackamas
New Castle,Colorado,Garfield
Paulden,Arizona,Yavapai
East Merrimack,New Hampshire,Hillsborough
Raynham Center,Massachusetts,Bristol
Lawnton,Pennsylvania,Dauphin
Keyser,West Virginia,Mineral
Desloge,Missouri,St. Francois
Dellwood,Missouri,St. Louis
Spring Lake Heights,New Jersey,Monmouth
Lexington,Ohio,Richland
St. Augustine South,Florida,St. Johns
Abbeville,South Carolina,Abbeville
Penns Grove,New Jersey,Salem
Flora,Illinois,Clay
Albertson,New York,Nassau
Carthage,Mississippi,Leake
James City,North Carolina,Craven
Silverton,Ohio,Hamilton
Chatsworth,Georgia,Murray
Spry,Pennsylvania,York
Green Tree,Pennsylvania,Allegheny
Chittenango,New York,Madison
Pupukea,Hawaii,Honolulu
June Park,Florida,Brevard
Utqiagvik,Alaska,North Slope
Santa Isabel,Puerto Rico,Santa Isabel
Pearl Beach,Michigan,St. Clair
North Alamo,Texas,Hidalgo
Carolina Shores,North Carolina,Brunswick
Columbia,Kentucky,Adair
Coopersville,Michigan,Ottawa
Hendron,Kentucky,McCracken
Beecher,Illinois,Will
Luray,Virginia,Page
South Brooksville,Florida,Hernando
Holbrook,Arizona,Navajo
South Bound Brook,New Jersey,Somerset
King George,Virginia,King George
Palos Park,Illinois,Cook
Glendive,Montana,Dawson
Wauna,Washington,Pierce
Indian Wells,California,Riverside
Pilot Point,Texas,Denton
South Bay,Florida,Palm Beach
Venersborg,Washington,Clark
Okauchee Lake,Wisconsin,Waukesha
Point Pleasant Beach,New Jersey,Ocean
Midway,North Carolina,Davidson
Seven Lakes,North Carolina,Moore
Prairie Heights,Washington,Pierce
Cochran,Georgia,Bleckley
Telford,Pennsylvania,Bucks
Clinton,Indiana,Vermillion
Cornelia,Georgia,Habersham
Ashland,Missouri,Boone
Fountain Hill,Pennsylvania,Lehigh
Littlestown,Pennsylvania,Adams
Flourtown,Pennsylvania,Montgomery
Reedurban,Ohio,Stark
Bret Harte,California,Stanislaus
Mount Pleasant,Tennessee,Maury
Forest Hills,Tennessee,Davidson
Wolf Lake,Michigan,Muskegon
Cheboygan,Michigan,Cheboygan
Stafford Springs,Connecticut,Capitol
Penn Yan,New York,Yates
Carrizo Springs,Texas,Dimmit
Ogallala,Nebraska,Keith
Ahoskie,North Carolina,Hertford
Riva,Maryland,Anne Arundel
Manitou Springs,Colorado,El Paso
Ottawa Hills,Ohio,Lucas
Westlake,Louisiana,Calcasieu
Platte City,Missouri,Platte
Flower Hill,New York,Nassau
Kingsville,Maryland,Baltimore
Timber Pines,Florida,Hernando
Lonsdale,Minnesota,Rice
Worland,Wyoming,Washakie
Brookridge,Florida,Hernando
Windom,Minnesota,Cottonwood
Searingtown,New York,Nassau
Elk Ridge,Utah,Utah
Northvale,New Jersey,Bergen
Oak Park Heights,Minnesota,Washington
Winnsboro,Louisiana,Franklin
Higginsville,Missouri,Lafayette
Benton,Kentucky,Marshall
DeWitt,Michigan,Clinton
Calcutta,Ohio,Columbiana
San Carlos,Arizona,Gila
St. Clair,Missouri,Franklin
Crystal Springs,Mississippi,Copiah
Richwood,Texas,Brazoria
Mount Orab,Ohio,Brown
Grantley,Pennsylvania,York
Humboldt,Iowa,Humboldt
Lakeview,Georgia,Catoosa
North Kansas City,Missouri,Clay
Midland,North Carolina,Cabarrus
Whitehouse,Ohio,Lucas
Combee Settlement,Florida,Polk
Warm Mineral Springs,Florida,Sarasota
Nellis AFB,Nevada,Clark
Cedar Knolls,New Jersey,Morris
Christiana,Tennessee,Rutherford
Piedmont,Alabama,Calhoun
Nassau Village-Ratliff,Florida,Nassau
Watertown,Minnesota,Carver
Sugarcreek,Pennsylvania,Venango
Whitfield,Florida,Manatee
West Milton,Ohio,Miami
St. James,Minnesota,Watonwan
Arnold,Pennsylvania,Westmoreland
South Hill,Virginia,Mecklenburg
Bridgeville,Pennsylvania,Allegheny
Sawgrass,Florida,St. Johns
Jeanerette,Louisiana,Iberia
Chisholm,Minnesota,St. Louis
Dansville,New York,Livingston
Vail,Colorado,Eagle
Mather,California,Sacramento
Centreville,Maryland,Queen Anne's
Santa Ynez,California,Santa Barbara
Stock Island,Florida,Monroe
Butler Beach,Florida,St. Johns
Edwardsville,Kansas,Wyandotte
Whiteville,North Carolina,Columbus
Crystal City,Missouri,Jefferson
Crossett,Arkansas,Ashley
Le Claire,Iowa,Scott
Brisbane,California,San Mateo
Miami Heights,Ohio,Hamilton
Lake Pocotopaug,Connecticut,Lower Connecticut River Valley
Osage Beach,Missouri,Camden
Longbranch,Washington,Pierce
Madison,Georgia,Morgan
Leonardtown,Maryland,St. Mary's
Montoursville,Pennsylvania,Lycoming
Woodmore,Maryland,Prince George's
Morgan's Point Resort,Texas,Bell
Jenkintown,Pennsylvania,Montgomery
Rock Hill,Missouri,St. Louis
Fabens,Texas,El Paso
Montgomery,Georgia,Chatham
Naguabo,Puerto Rico,Naguabo
Country Lake Estates,New Jersey,Burlington
East Palestine,Ohio,Columbiana
Lakewood,Illinois,McHenry
Grayson,Georgia,Gwinnett
Lemoyne,Pennsylvania,Cumberland
Ocean Bluff-Brant Rock,Massachusetts,Plymouth
Childersburg,Alabama,Talladega
Moses Lake North,Washington,Grant
Elberton,Georgia,Elbert
West Elmira,New York,Chemung
Swartz,Louisiana,Ouachita
Oak Hill,Tennessee,Davidson
Whiteville,Tennessee,Hardeman
Valdese,North Carolina,Burke
East Troy,Wisconsin,Walworth
Avalon,Pennsylvania,Allegheny
Meadows Place,Texas,Fort Bend
Mount Plymouth,Florida,Lake
Garwood,New Jersey,Union
Fort Pierce South,Florida,St. Lucie
Lillington,North Carolina,Harnett
Palmetto,Georgia,Fulton
Blanchester,Ohio,Clinton
Crooked River Ranch,Oregon,Jefferson
Berwick,Louisiana,St. Mary
Monticello,Louisiana,East Baton Rouge
Tuscola,Illinois,Douglas
Salem,Missouri,Dent
Grafton,West Virginia,Taylor
Haleiwa,Hawaii,Honolulu
Hurstbourne,Kentucky,Jefferson
Berryville,Virginia,Clarke
Lake Worth,Texas,Tarrant
Aurora,Nebraska,Hamilton
Dilworth,Minnesota,Clay
Paradise Hills,New Mexico,Bernalillo
Bremen,Indiana,Marshall
Añasco,Puerto Rico,Añasco
Adjuntas,Puerto Rico,Adjuntas
Springhill,Louisiana,Webster
Granite Falls,Washington,Snohomish
Fairfield,Illinois,Wayne
Gifford,Florida,Indian River
Silverthorne,Colorado,Summit
Pacheco,California,Contra Costa
Nikiski,Alaska,Kenai Peninsula
Grant-Valkaria,Florida,Brevard
Jackson,Alabama,Clarke
Mansfield,Louisiana,De Soto
Boalsburg,Pennsylvania,Centre
Montebello,New York,Rockland
Mount Ephraim,New Jersey,Camden
Florence,Mississippi,Rankin
West Pittston,Pennsylvania,Luzerne
Copperopolis,California,Calaveras
Clarkdale,Arizona,Yavapai
Negaunee,Michigan,Marquette
Forsyth,Georgia,Monroe
Los Chaves,New Mexico,Valencia
Columbiana,Alabama,Shelby
Pittsboro,North Carolina,Chatham
Buckhead,Georgia,Bryan
Rogersville,Tennessee,Hawkins
Buckingham,Florida,Lee
American Falls,Idaho,Power
Clarcona,Florida,Orange
Olympia Fields,Illinois,Cook
Lorane,Pennsylvania,Berks
Watseka,Illinois,Iroquois
Ashville,Ohio,Pickaway
Boiling Springs,North Carolina,Cleveland
Buhl,Idaho,Twin Falls
Oconto,Wisconsin,Oconto
Michigan Center,Michigan,Jackson
Blue Point,New York,Suffolk
Panther Valley,New Jersey,Warren
Weaverville,North Carolina,Buncombe
Erwin,North Carolina,Harnett
Barnwell,South Carolina,Barnwell
Centralia,Missouri,Boone
Lake Montezuma,Arizona,Yavapai
Blackwood,New Jersey,Camden
La Joya,Texas,Hidalgo
Beaufort,North Carolina,Carteret
Kalaheo,Hawaii,Kauai
Wood Village,Oregon,Multnomah
Lindale,Georgia,Floyd
Mount Carmel,Ohio,Clermont
Randleman,North Carolina,Randolph
Folkston,Georgia,Charlton
Hollister,Missouri,Taney
Neptune City,New Jersey,Monmouth
Deer Park,Washington,Spokane
Cornwall,Pennsylvania,Lebanon
Lexington,Missouri,Lafayette
Belfair,Washington,Mason
Noyack,New York,Suffolk
South Tucson,Arizona,Pima
South Greeley,Wyoming,Laramie
Butler,Missouri,Bates
Ellisville,Mississippi,Jones
New Boston,Texas,Bowie
Sauk Centre,Minnesota,Stearns
Waimanalo Beach,Hawaii,Honolulu
Pinardville,New Hampshire,Hillsborough
Big Pine Key,Florida,Monroe
St. James,Maryland,Washington
Beavercreek,Oregon,Clackamas
Wapato,Washington,Yakima
Coopertown,Tennessee,Robertson
Highlands,New Jersey,Monmouth
East Petersburg,Pennsylvania,Lancaster
Glen Head,New York,Nassau
Holts Summit,Missouri,Callaway
Moon Lake,Florida,Pasco
Creve Coeur,Illinois,Tazewell
Little Falls,New York,Herkimer
East Porterville,California,Tulare
Greenacres,California,Kern
Charleston,Missouri,Mississippi
Camanche,Iowa,Clinton
Lake Tansi,Tennessee,Cumberland
Mullica Hill,New Jersey,Gloucester
Heron Bay,Georgia,Henry
Floyds Knobs,Indiana,Floyd
Shannon Hills,Arkansas,Saline
Cortland,Illinois,DeKalb
Ranlo,North Carolina,Gaston
Whiting,Indiana,Lake
Newton Falls,Ohio,Trumbull
Clintonville,Wisconsin,Waupaca
Ada,Ohio,Hardin
Post,Texas,Garza
Waynesboro,Mississippi,Wayne
Mount Vernon,Iowa,Linn
Glendale,Colorado,Arapahoe
Sellersville,Pennsylvania,Bucks
Moxee,Washington,Yakima
Raeford,North Carolina,Hoke
Nowthen,Minnesota,Anoka
Chester,Maryland,Queen Anne's
Thiells,New York,Rockland
West Reading,Pennsylvania,Berks
Donora,Pennsylvania,Washington
Mountain Lakes,New Jersey,Morris
Jim Thorpe,Pennsylvania,Carbon
Horseshoe Bay,Texas,Llano
Maeser,Utah,Uintah
Fremont,Michigan,Newaygo
Mount Vernon,Missouri,Lawrence
Holly Ridge,North Carolina,Onslow
Diboll,Texas,Angelina
Evansdale,Iowa,Black Hawk
Paxtonia,Pennsylvania,Dauphin
Hearne,Texas,Robertson
Royal Pines,North Carolina,Buncombe
Canastota,New York,Madison
Hummelstown,Pennsylvania,Dauphin
Lake Panasoffkee,Florida,Sumter
Potosi,Texas,Taylor
Hartwell,Georgia,Hart
California,Missouri,Moniteau
Guerneville,California,Sonoma
Rockford,Minnesota,Wright
Prospect,Kentucky,Jefferson
Heritage Village,Connecticut,Naugatuck Valley
Dardanelle,Arkansas,Yell
Buffalo,Wyoming,Johnson
Seat Pleasant,Maryland,Prince George's
Suquamish,Washington,Kitsap
Wellington,Ohio,Lorain
Bethel Manor,Virginia,York
Fulton,Mississippi,Itawamba
Madisonville,Texas,Madison
Hancock,Michigan,Houghton
Cross Mountain,Texas,Bexar
West Wendover,Nevada,Elko
Jessup,Pennsylvania,Lackawanna
Phoenix Lake,California,Tuolumne
Stone Park,Illinois,Cook
Menands,New York,Albany
Hawaiian Beaches,Hawaii,Hawaii
Rio Bravo,Texas,Webb
Fox River Grove,Illinois,McHenry
Buena,New Jersey,Atlantic
Landing,New Jersey,Morris
Josephine,Texas,Collin
Rogersville,Missouri,Greene
Hallsville,Texas,Harrison
Dexter,Michigan,Washtenaw
Lexington,Washington,Cowlitz
Mountain Grove,Missouri,Wright
Taylor Creek,Florida,Okeechobee
Hokes Bluff,Alabama,Etowah
Farmville,North Carolina,Pitt
Mosinee,Wisconsin,Marathon
McGuire AFB,New Jersey,Burlington
China Grove,North Carolina,Rowan
Eldon,Missouri,Miller
Jasper,Florida,Hamilton
Piney,Arkansas,Garland
Oak Grove,Tennessee,Washington
Narberth,Pennsylvania,Montgomery
Mabank,Texas,Kaufman
Westwood,Kentucky,Boyd
Edenton,North Carolina,Chowan
Beattystown,New Jersey,Warren
New Lexington,Ohio,Perry
Millis-Clicquot,Massachusetts,Norfolk
Ridge Manor,Florida,Hernando
Wolverine Lake,Michigan,Oakland
Springdale,Maryland,Prince George's
Haughton,Louisiana,Bossier
Perry,Oklahoma,Noble
Viroqua,Wisconsin,Vernon
Smith Mills,Massachusetts,Bristol
Broadmoor,California,San Mateo
Crestline,Ohio,Crawford
Brewerton,New York,Onondaga
Imbéry,Puerto Rico,Barceloneta
Honesdale,Pennsylvania,Wayne
Shallotte,North Carolina,Brunswick
Fredericktown,Missouri,Madison
Wahneta,Florida,Polk
Lee Acres,New Mexico,San Juan
Peotone,Illinois,Will
Shady Side,Maryland,Anne Arundel
Newport,Minnesota,Washington
Loch Lomond,Virginia,Prince William
North Plymouth,Massachusetts,Plymouth
New Roads,Louisiana,Pointe Coupee
Charlotte Harbor,Florida,Charlotte
Selmer,Tennessee,McNairy
Argo,Alabama,St. Clair
Barclay,New Jersey,Camden
Oasis,California,Riverside
Violet,Louisiana,St. Bernard
Tulia,Texas,Swisher
Level Green,Pennsylvania,Westmoreland
La Grange,Texas,Fayette
Soldotna,Alaska,Kenai Peninsula
Salinas,Puerto Rico,Salinas
Falfurrias,Texas,Brooks
Mojave,California,Kern
Mystic,Connecticut,Southeastern Connecticut
Castle Pines Village,Colorado,Douglas
Huxley,Iowa,Story
Ottawa,Ohio,Putnam
Arabi,Louisiana,St. Bernard
Carmel Valley Village,California,Monterey
Greenville,Kentucky,Muhlenberg
Vandercook Lake,Michigan,Jackson
Samoset,Florida,Manatee
Lebanon,Illinois,St. Clair
Wayland,Michigan,Allegan
Devine,Texas,Medina
Unalaska,Alaska,Aleutians West
La Verkin,Utah,Washington
Newport,North Carolina,Carteret
Lafayette,Oregon,Yamhill
Dewey-Humboldt,Arizona,Yavapai
Perryville,Maryland,Cecil
McLoud,Oklahoma,Pottawatomie
Marlow,Oklahoma,Stephens
Pittsfield,Illinois,Pike
Crouch Mesa,New Mexico,San Juan
Tazewell,Virginia,Tazewell
